stage,zone,image,area_um2,use
immature,throat,ithftrichome800x,397.884,TRUE
immature,throat,ithftrichome800x,455.86,TRUE
immature,throat,ithftrichome800x,393.777,TRUE
immature,throat,ithftrichome800x,433.192,TRUE
immature,throat,ithftrichome800x,372.999,TRUE
immature,throat,ithftrichome800x,605.194,TRUE
immature,throat,ithftrichome800x,542.904,TRUE
immature,throat,ithftrichome2_800x,228.036,TRUE
immature,throat,ithftrichome2_800x,376.832,TRUE
immature,throat,ithftrichome2_800x,382.465,TRUE
immature,throat,ithftrichome2_800x,508.097,TRUE
immature,throat,ithftrichome2_800x,330.563,TRUE
immature,throat,ithftrichome2_800x,545.229,TRUE
mature,throat,mthf,672.354,TRUE
mature,throat,mthf,744.885,TRUE
mature,throat,mthf,1185.311,TRUE
mature,throat,mthf,996.158,TRUE
mature,throat,mthf,746.843,TRUE
mature,throat,mthf,1368.713,TRUE
mature,throat,mthf,1040.17,TRUE
mature,throat,mthf,549.798,TRUE
mature,throat,mthf,665.867,TRUE
mature,stomach,msf800x,8.74,FALSE
mature,stomach,msf800x,7.621,FALSE
mature,stomach,msf800x,5.458,FALSE
mature,stomach,msf800x,7.318,FALSE
mature,stomach,msf800x,7.994,FALSE
mature,stomach,msf800x,3.908,FALSE
mature,stomach,msf800x,5.502,FALSE
mature,stomach,msf800x,7.601,FALSE
mature,stomach,msf800x,9.964,FALSE
mature,stomach,msf800x,14.479,FALSE
