stage,image,area_um2
immature,istb50x,64938.88
immature,istb50x,43365.075
immature,istb50x,56210.559
immature,istb50x,49896.81
immature,istb50x,71646.52
immature,istb50x,34248.09
immature,istb50x,56208.99
immature,istb50x,43686.565
immature,istb50x,34296.444
immature,istb50x,44981.934
immature,istb50x,67036.145
immature,istb50x,43201.977
immature,istb50x,43544.638
immature,istb50x,34977.062
immature,istb50x,62666.234
immature,istb50x,38200.064
immature,istb50x,52616.144
immature,istb50x,78627.034
immature,istb50x,51992.767
immature,istb50x,42826.383
immature,istb50x,54013.711
immature,istb50x,41882.3
mature,msb50x,57957.483
mature,msb50x,37836.335
mature,msb50x,26941.35
mature,msb50x,44479.877
mature,msb50x,28529.026
mature,msb50x,28571.364
mature,msb50x,21248.397
mature,msb50x,25700.694
mature,msb50x,45553.449
mature,msb50x,42201.184
mature,msb50x,32613.385
mature,msb50x,37329.287
mature,msb50x,39976.926
mature,msb50x,28352.869
mature,msb50x,41146.514
mature,msb50x,31779.225
mature,msb50x,34241.635
mature,msb50x,44404.778
mature,msb50x,47327.11
mature,msb50x,38740.051
mature,msb50x,53926.55
mature,msb50x,34999.94
mature,msb50x,30475.819
mature,msb50x,29427.953
mature,msb50x,33214.938
mature,msb50x,32373.47
mature,msb50x,49432.67
mature,msb50x,47431.443
mature,msb50x,28451.154
mature,msb50x,36707.069
