stage,image,x_um,y_um
immature,istb50x,213.682,447.522
immature,istb50x,511.778,148.922
immature,istb50x,548.064,693.206
immature,istb50x,1023.808,257.779
immature,istb50x,1156.856,540
immature,istb50x,773.841,991.555
immature,istb50x,1172.983,1241.522
immature,istb50x,644.825,1551.965
immature,istb50x,306.16,1152.824
immature,istb50x,1217.332,1600.346
immature,istb50x,1551.965,1342.315
immature,istb50x,1350.379,842.38
immature,istb50x,1777.743,854.476
immature,istb50x,1624.537,515.81
immature,istb50x,1616.473,229.557
immature,istb50x,2007.551,427.112
immature,istb50x,2201.075,749.65
immature,istb50x,2309.931,1015.745
immature,istb50x,2447.01,1310.061
immature,istb50x,2213.17,1648.727
immature,istb50x,2459.106,1729.362
immature,istb50x,1914.822,1580.188
immature,istb50x,1947.075,1120.57
immature,istb50x,858.507,1862.409
immature,istb50x,185.208,1600.346
immature,istb50x,68.287,1019.777
immature,istb50x,1543.902,697.238
mature,msb50x,479.839,137.097
mature,msb50x,140.877,314.264
mature,msb50x,527.974,536.038
mature,msb50x,927.167,346.522
mature,msb50x,1286.038,507.812
mature,msb50x,1471.522,136.845
mature,msb50x,1729.587,161.038
mature,msb50x,1979.587,342.49
mature,msb50x,2189.264,60.232
mature,msb50x,2544.103,88.458
mature,msb50x,2314.264,483.619
mature,msb50x,2128.78,721.522
mature,msb50x,1794.103,552.167
mature,msb50x,1902.974,1036.038
mature,msb50x,1511.845,975.554
mature,msb50x,1185.232,882.812
mature,msb50x,866.683,757.812
mature,msb50x,713.458,1152.974
mature,msb50x,463.458,894.909
mature,msb50x,100.554,652.974
mature,msb50x,84.425,1040.071
mature,msb50x,419.103,1306.2
mature,msb50x,600.554,1588.458
mature,msb50x,140.877,1532.006
mature,msb50x,915.071,1794.103
mature,msb50x,1193.296,1580.393
mature,msb50x,951.361,1273.942
mature,msb50x,1596.522,1415.071
mature,msb50x,1729.587,1798.135
mature,msb50x,1419.103,1850.554
mature,msb50x,1858.619,1483.619
mature,msb50x,2253.78,1487.651
mature,msb50x,2419.103,1850.554
mature,msb50x,2237.651,1068.296
mature,msb50x,2495.716,846.522
