 ,Area,Mean,Min,Max
1,64938.880,126.768,70,252
2,43365.075,131.065,70,254
3,56210.559,121.859,73,254
4,49896.810,132.339,61,255
5,71646.520,125.839,70,252
6,34248.090,121.965,61,252
7,56208.990,120.765,71,250
8,43686.565,120.363,62,255
9,34296.444,120.849,69,250
10,44981.934,127.817,72,254
11,67036.145,124.377,68,254
12,43201.977,131.786,74,254
13,43544.638,118.133,70,247
14,34977.062,120.584,75,249
15,62666.234,124.495,74,233
16,38200.064,126.034,77,248
17,52616.144,117.175,70,239
18,78627.034,120.120,69,246
19,51992.767,119.996,70,251
20,42826.383,124.346,75,251
21,54013.711,127.689,61,242
22,41882.300,110.125,0,255
