 ,Area,Mean,Min,Max,X,Y
1,0.000,138,138,138,213.682,447.522
2,0.000,118,118,118,511.778,148.922
3,0.000,116,116,116,548.064,693.206
4,0.000,217,217,217,1023.808,257.779
5,0.000,104,104,104,1156.856,540.000
6,0.000,122,122,122,773.841,991.555
7,0.000,112,112,112,1172.983,1241.522
8,0.000,141,141,141,644.825,1551.965
9,0.000,120,120,120,306.160,1152.824
10,0.000,106,106,106,1217.332,1600.346
11,0.000,120,120,120,1551.965,1342.315
12,0.000,85,85,85,1350.379,842.380
13,0.000,112,112,112,1777.743,854.476
14,0.000,111,111,111,1624.537,515.810
15,0.000,115,115,115,1616.473,229.557
16,0.000,126,126,126,2007.551,427.112
17,0.000,198,198,198,2201.075,749.650
18,0.000,113,113,113,2309.931,1015.745
19,0.000,108,108,108,2447.010,1310.061
20,0.000,135,135,135,2213.170,1648.727
21,0.000,127,127,127,2459.106,1729.362
22,0.000,146,146,146,1914.822,1580.188
23,0.000,135,135,135,1947.075,1120.570
24,0.000,119,119,119,858.507,1862.409
25,0.000,134,134,134,185.208,1600.346
26,0.000,120,120,120,68.287,1019.777
27,0.000,117,117,117,1543.902,697.238
