 ,Area,Mean,Min,Max
1,57957.483,127.460,48,254
2,37836.335,129.933,48,255
3,26941.350,134.008,66,255
4,44479.877,135.712,60,254
5,28529.026,132.034,59,255
6,28571.364,127.561,52,253
7,21248.397,134.987,54,255
8,25700.694,125.036,59,255
9,45553.449,124.135,57,255
10,42201.184,126.646,48,254
11,32613.385,122.875,53,248
12,37329.287,122.638,56,255
13,39976.926,122.760,55,251
14,28352.869,120.751,54,245
15,41146.514,123.010,60,249
16,31779.225,118.168,56,255
17,34241.635,122.795,52,247
18,44404.778,118.891,51,253
19,47327.110,123.335,56,251
20,38740.051,121.362,57,253
21,53926.550,125.244,51,253
22,34999.940,118.460,0,248
23,30475.819,116.749,0,250
24,29427.953,117.774,59,253
25,33214.938,116.798,60,248
26,32373.470,118.830,59,241
27,49432.670,116.105,53,250
28,47431.443,117.066,54,241
29,28451.154,114.814,54,244
30,36707.069,98.542,0,255
