 ,Label,Area,Mean,Min,Max,X,Y
1,,0.000,108.000,108.000,108.000,479.839,137.097
2,,0.000,154.000,154.000,154.000,140.877,314.264
3,,0.000,123.000,123.000,123.000,527.974,536.038
4,,0.000,150.000,150.000,150.000,927.167,346.522
5,,0.000,143.000,143.000,143.000,1286.038,507.812
6,,0.000,154.000,154.000,154.000,1471.522,136.845
7,,0.000,129.000,129.000,129.000,1729.587,161.038
8,,0.000,148.000,148.000,148.000,1979.587,342.490
9,,0.000,124.000,124.000,124.000,2189.264,60.232
10,,0.000,169.000,169.000,169.000,2544.103,88.458
11,,0.000,143.000,143.000,143.000,2314.264,483.619
12,,0.000,137.000,137.000,137.000,2128.780,721.522
13,,0.000,133.000,133.000,133.000,1794.103,552.167
14,,0.000,135.000,135.000,135.000,1902.974,1036.038
15,,0.000,135.000,135.000,135.000,1511.845,975.554
16,,0.000,139.000,139.000,139.000,1185.232,882.812
17,,0.000,132.000,132.000,132.000,866.683,757.812
18,,0.000,104.000,104.000,104.000,713.458,1152.974
19,,0.000,104.000,104.000,104.000,463.458,894.909
20,,0.000,106.000,106.000,106.000,100.554,652.974
21,,0.000,135.000,135.000,135.000,84.425,1040.071
22,,0.000,94.000,94.000,94.000,419.103,1306.200
23,,0.000,113.000,113.000,113.000,600.554,1588.458
24,,0.000,120.000,120.000,120.000,140.877,1532.006
25,,0.000,115.000,115.000,115.000,915.071,1794.103
26,,0.000,147.000,147.000,147.000,1193.296,1580.393
27,,0.000,133.000,133.000,133.000,951.361,1273.942
28,,0.000,173.000,173.000,173.000,1596.522,1415.071
29,,0.000,139.000,139.000,139.000,1729.587,1798.135
30,,0.000,158.000,158.000,158.000,1419.103,1850.554
31,,0.000,139.000,139.000,139.000,1858.619,1483.619
32,,0.000,153.000,153.000,153.000,2253.780,1487.651
33,,0.000,124.000,124.000,124.000,2419.103,1850.554
34,,0.000,172.000,172.000,172.000,2237.651,1068.296
35,,0.000,128.000,128.000,128.000,2495.716,846.522
36,Mean,0.000,134.657,134.657,134.657,1330.631,933.050
37,SD,0.000,19.575,19.575,19.575,771.207,564.514
38,Min,0.000,94.000,94.000,94.000,84.425,60.232
39,Max,0.000,173.000,173.000,173.000,2544.103,1850.554
